name,price,type,color,side_panel,external_volume,internal_35_bays
Antec Cube,,Mini ITX Tower,Black / Green,Acrylic,42,1
Antec ISK 110 VESA,,Mini ITX Desktop,Black / Silver,,3.7,0
Antec ISK 110 VESA U3,,Mini ITX Desktop,Black,,4.1,0
Antec ISK 300-150,,Mini ITX Desktop,Black,,6.9,0
Antec ISK 300-65,,Mini ITX Desktop,Black,,6.9,0
Antec ISK 310-150,,Mini ITX Desktop,Black / Silver,,6.9,0
Antec ISK-100,,Mini ITX Tower,Black / Silver,,4.4,0
Antec ISK600,,Mini ITX Tower,Black / Blue,,18.7,3
Antec Striker,,Mini ITX Tower,White,Tempered Glass,39.6,0
Antec Striker Phantom Gaming Edition,,Mini ITX Desktop,White / Black,Tempered Glass,,0
Apevia X-FIT-100,,Mini ITX Tower,Black,,4.7,0
Apevia X-FIT-200,,Mini ITX Tower,Black,,6.4,1
Apex MI-008,67.78,Mini ITX Tower,Black,,8.5,1
Apex MI-100,,Mini ITX Tower,Black / Silver,,8.5,1
Apex MI-100,,Mini ITX Tower,Black,,8.5,1
Apex MI-110,,Mini ITX Tower,Black / Silver,Acrylic,9.7,1
Apex MW-100,,Mini ITX Tower,Black / White,,2.9,0
Apex MW-107V,,Mini ITX Tower,Black / White,,2.9,0
Asus ROG Z11,138.48,Mini ITX Tower,Black,Tinted Tempered Glass,,1
Athenatech A1019HG.150,,Mini ITX Desktop,Gray / Black,,5.2,1
Athenatech A1089BB.150,,Mini ITX Tower,Black,,9.9,1
Athenatech A1089BR.150,,Mini ITX Tower,Black / Red,,9.9,1
Athenatech A1089BW.150,,Mini ITX Tower,Black / White,,9.9,1
Athenatech A1089HG.150,,Mini ITX Tower,Black,,9.9,1
Azza CSAZ-105,,Mini ITX Desktop,Black,,,1
Azza CUBE MINI 805,299.99,Mini ITX Tower,Silver / Black,Tempered Glass,17.6,0
Azza Pyramid Mini 806,279.99,Mini ITX Tower,Silver / Black,Tempered Glass,,0
Azza Z,,Mini ITX Tower,Black,Acrylic,16.7,0
BitFenix Colossus Mini,,Mini ITX Tower,Black / White,,57.9,5
BitFenix Phenom,,Mini ITX Tower,Black,,30.6,6
BitFenix Phenom,,Mini ITX Tower,White,,30.6,6
BitFenix Portal,,Mini ITX Tower,White,,,2
BitFenix Portal,,Mini ITX Tower,White,Acrylic,,2
BitFenix Portal,,Mini ITX Tower,Black,Acrylic,,2
BitFenix Portal,,Mini ITX Tower,Black,,,2
BitFenix Prodigy,,Mini ITX Tower,Black,,36,5
BitFenix Prodigy,,Mini ITX Tower,Orange,,36,5
BitFenix Prodigy,,Mini ITX Tower,Blue,Acrylic,36,5
BitFenix Prodigy,,Mini ITX Tower,White,,36,5
BitFenix Prodigy,,Mini ITX Tower,Red,,36,5
BitFenix Prodigy,,Mini ITX Tower,Green,Acrylic,36,5
CHENBRO ES34069-BK-180,,Mini ITX Tower,Black,,9.4,0
CHENBRO SR30169,,Mini ITX Tower,Black / Silver,,,4
Chieftec BT-02B-U3-250VS (230V),183,Mini ITX Tower,,,9.6,1
Chieftec BT-04B-U3-250VS (230V),248,Mini ITX Tower,Black,,10.5,1
Chieftec BT-06B-250VS (230v),,Mini ITX Tower,,,10.5,1
Chieftec BU-12B-300,,Mini ITX Tower,Black,,7.5,1
Chieftec CN-01B-OP,,Mini ITX Desktop,Black,Mesh,13,3
Chieftec FI-01B-U3,,Mini ITX Desktop,Black / Silver,,,1
Chieftec FI-01B-U3,,Mini ITX Desktop,Black / Silver,,,1
Chieftec FI-01B-U3,,Mini ITX Desktop,Black,,,1
CiT MTX-005B,,Mini ITX Tower,Black,,,1
CiT MTX-007B,,Mini ITX Desktop,Black,,5.1,0
CiT MTX-008B,,Mini ITX Desktop,Black,,8.6,1
Cooler Master Elite 110,,Mini ITX Tower,Black,,15.3,3
Cooler Master Elite 120 Advanced,,Mini ITX Tower,Black / Silver,,19.7,3
Cooler Master Elite 120 Advanced,,Mini ITX Tower,White,,19.7,3
Cooler Master Elite 130,,Mini ITX Tower,Black,,19.8,3
Cooler Master HAF Stacker 915F,,Mini ITX Tower,Black,,32.4,3
Cooler Master HAF Stacker 915R,,Mini ITX Tower,Black,,32.4,3
Cooler Master MasterBox NR200,114.99,Mini ITX Desktop,Black,,,2
Cooler Master MasterBox NR200,93.99,Mini ITX Desktop,White / Black,,,2
Cooler Master MasterBox NR200P,,Mini ITX Desktop,Black,Tempered Glass,20.3,2
Cooler Master MasterBox NR200P,,Mini ITX Desktop,White / Black,Tempered Glass,20.3,2
Cooler Master MasterBox NR200P,,Mini ITX Desktop,Pink,Tempered Glass,20.3,2
Cooler Master MasterBox NR200P,,Mini ITX Desktop,Pink / White,Tempered Glass,20.3,2
Cooler Master MasterBox NR200P,,Mini ITX Desktop,Purple,Tempered Glass,20.3,2
Cooler Master MasterBox NR200P,,Mini ITX Desktop,Orange,Tempered Glass,20.3,2
Cooler Master MasterBox NR200P,,Mini ITX Desktop,Blue,Tempered Glass,20.3,2
Cooler Master MasterBox NR200P V2,119.99,Mini ITX Desktop,Black,Mesh,20.1,1
Cooler Master MasterBox NR200P V2,115.99,Mini ITX Desktop,White,Mesh,20.1,1
Cooler Master MasterCase H100,86.61,Mini ITX Desktop,Black,,,1
Cooler Master MasterCase H100 ARGB,80.98,Mini ITX Desktop,Black,,,1
Cooltek UMX1,,Mini ITX Tower,Black,,,2
Cooltek UMX1,,Mini ITX Tower,Silver,,,2
Cooltek W1,,Mini ITX Tower,Black,,,4
Cooltek W1,,Mini ITX Tower,Black,Acrylic,,4
Cooltek W1,,Mini ITX Tower,Silver,,,4
Cooltek W1,,Mini ITX Tower,Silver,Acrylic,,4
Corsair 2000D AIRFLOW,99.99,Mini ITX Tower,Black,Mesh,24.8,0
Corsair 2000D AIRFLOW,104.99,Mini ITX Tower,White,Mesh,24.8,0
Corsair 2000D RGB AIRFLOW,114.99,Mini ITX Tower,Black,Mesh,24.8,0
Corsair 2000D RGB AIRFLOW,139.99,Mini ITX Tower,White,Mesh,24.8,0
Corsair Graphite Series 380T,,Mini ITX Tower,Black / Red,,41,2
Corsair Graphite Series 380T,,Mini ITX Tower,Black / White,,41,2
Corsair Graphite Series 380T,,Mini ITX Tower,Black / Yellow,,41,2
Corsair Obsidian Series 250D,,Mini ITX Tower,Black,Acrylic,28.1,2
Cougar Dust 2,166.82,Mini ITX Tower,Black / Gold,Mesh,23.6,0
Cougar Dust 2,,Mini ITX Tower,Black / Gray,Mesh,23.6,0
Cougar Dust 2,,Mini ITX Tower,Black / Silver,Mesh,23.6,0
CRYORIG TAKU,,Mini ITX Desktop,Silver,,,1
Cubitek Mini Cube,,Mini ITX Tower,Black,,,3
Cubitek Mini Cube,,Mini ITX Tower,Silver,,,3
DAN Cases A4 SFX,,Mini ITX Desktop,Black,,,0
DAN Cases A4 SFX,,Mini ITX Desktop,Black,,,0
DAN Cases A4 SFX,,Mini ITX Desktop,Silver,,,0
DAN Cases A4 SFX,,Mini ITX Desktop,Silver,,,0
DAN Cases A4-SFXv3,,Mini ITX Desktop,Black,,,0
DAN Cases A4-SFXv3,,Mini ITX Desktop,Silver,,,0
DAN Cases A4-SFXv4,,Mini ITX Desktop,Silver,,,0
DAN Cases A4-SFXv4,,Mini ITX Desktop,Black,,,0
