name,price,size,color,rpm,airflow,noise_level,pwm
ADATA Vento,9.99,120,Black / White,1200,45.3,23,FALSE
ADATA Vento,8.99,120,Black,1200,45.3,23,FALSE
ADATA Vento 3-Pack,27.99,120,Black / White,1200,45.3,23,FALSE
ADATA XPG HURRICANE,18.99,120,Black / White,"6,002,000",61.5,18.17,TRUE
ADATA XPG VENTO PRO,17.99,120,Gray / Black,"4,502,150",75,"10,28",TRUE
Aerocool AeroFlow,,120,Translucent White,1500,59.12,29.58,FALSE
Aerocool DS,9.99,120,Black / Red,"11,001,500","62.5,81.5","14.8,23.1",FALSE
Aerocool DS,14.69,120,Black / Blue,"11,001,500","62.5,81.5","14.8,23.1",FALSE
Aerocool DS,,120,Black / Gray,"11,001,500","62.5,81.5","14.8,23.1",FALSE
Aerocool DS,17.47,120,Black / White,"11,001,500","62.5,81.5","14.8,23.1",FALSE
Aerocool LightWave,,120,Transparent,1800,35.7,25,TRUE
Aerocool Project 7 RGB 12,,120,,1200,45.8,14.5,FALSE
Aerocool Shark,8.98,120,White,"8,001,500","32.5,82.6","12.6,26.5",FALSE
Aerocool Shark,15.98,120,Red,"8,001,500","32.5,82.6","12.6,26.5",FALSE
Aerocool Shark,13.95,120,Green,"8,001,500","32.5,82.6","12.6,26.5",FALSE
Aerocool Shark,,120,Black,"8,001,500","32.5,82.6","12.6,26.5",FALSE
Aerocool Shark,,120,Blue,"8,001,500","32.5,82.6","12.6,26.5",FALSE
Aerocool Turbine 1000,,120,Silver,950,37.44,19.66,FALSE
Aerocool TURBINE 3000,,120,Blue,950,37.44,19.66,FALSE
Aerocool V12,,120,Translucent Black,1000,29.7,17.3,FALSE
Akasa AK-274CC-4RAS,,120,Clear,1200,38.4,17.5,FALSE
Akasa Apache Black,,120,Black,"6,001,300",57.53,"6.9,16.05",TRUE
Akasa Piranha,,120,Black / Gray,"6,001,900",79.13,"6.4,27.2",TRUE
Akasa Soho AR,29.76,120,Black,"5,002,000",52.91,"14.2,31.8",TRUE
Akasa Vegas TLX,,120,Black / White,1500,35.2,23.8,FALSE
Akasa Viper,,120,Black / Yellow,"6,001,900",83.63,"6.9,28.9",TRUE
Alpenföhn JetStream,,120,Black,"4,001,600",55.326,22.8,TRUE
Alpenföhn JetStream 3-Pack,,120,Black,"4,001,600",55.326,22.8,TRUE
Alpenföhn JetStream Slim,,120,Black,"4,001,800",52.619,24.7,TRUE
Alpenföhn Wing Boost 3 ARGB,,120,White,"7,002,200",77.9,36.8,TRUE
Alpenföhn Wing Boost 3 ARGB,,120,White,"7,001,600",54.5,23.5,TRUE
Alpenföhn Wing Boost 3 ARGB,,120,Black,"7,002,200",77.9,36.8,TRUE
Alpenföhn Wing Boost 3 ARGB,,120,Black,"7,001,600",54.5,23.5,TRUE
Alpenföhn Wing Boost 3 ARGB 3-Pack,,120,Black,"7,002,200",77.9,36.8,TRUE
Alpenföhn Wing Boost 3 ARGB 3-Pack,,120,White,"7,002,200",77.9,36.8,TRUE
