,PSU Name,Wattage,Form Factor,Efficiency,Type,Color,Price (USD)
0,Corsair SF750 (2018),750,SFX,80+ Platinum,Full,Black,179.99
1,Corsair SF750 (2024),750,SFX,80+ Platinum,Full,Black,229.99
2,Corsair SF1000 (2024),1000,SFX,80+ Platinum,Full,Black,229.99
3,Corsair SF600 (2018),600,SFX,80+ Platinum,Full,Black,149.99
4,Corsair SF450 (2016),450,SFX,80+ Gold,Full,Black,119.99
5,Corsair SF450 (2018),450,SFX,80+ Platinum,Full,Black,109.99
6,SeaSonic FOCUS SGX,500,SFX,80+ Gold,Full,Black,139.99
7,Fractal Design Ion SFX 650G,650,SFX,80+ Gold,Full,Black,156.99
8,Cooler Master V850 SFX GOLD,850,SFX,80+ Gold,Full,Black,156.99
9,Corsair SF600 (2016),600,SFX,80+ Gold,Full,Black,119.99
10,SeaSonic FOCUS SGX,650,SFX,80+ Gold,Full,Black,159.99
11,Asus ROG LOKI,750,SFX,80+ Platinum,Full,Black / Silver,191.99
12,Silverstone SX1000-LPT,1000,SFX,80+ Platinum,Full,Black,289.99
13,Silverstone SX600-G,600,SFX,80+ Gold,Full,Black,149.99
14,Corsair SF1000L,1000,SFX,80+ Gold,Full,Black,199.99
15,EVGA SuperNOVA 650 GM,650,SFX,80+ Gold,Full,Black,149.99
16,Corsair SF850 (2024),850,SFX,80+ Platinum,Full,Black,199.99
17,Silverstone SFX,750,SFX,80+ Gold,Full,White,229.99
18,Silverstone SX650-G,650,SFX,80+ Gold,Full,Black,169.99
19,Silverstone SX700-PT,700,SFX,80+ Platinum,Full,Black,239.99
20,Asus ROG LOKI,750,SFX,80+ Platinum,Full,White / Silver,239.99
21,Phanteks Revolt SFX,850,SFX,80+ Platinum,Full,Black,239.99
22,SeaSonic FOCUS SPX (2021),650,SFX,80+ Platinum,Full,Black,149.99
23,Cooler Master V750 SFX GOLD,750 W,SFX,80+ Gold,Full,Black,139.99
24,Cooler Master V850 SFX GOLD,850 W,SFX,80+ Gold,Full,White,169.99
25,EVGA SuperNOVA 550 GM,550 W,SFX,80+ Gold,Full,Black,109.99
26,EVGA SuperNOVA 450 GM,450 W,SFX,80+ Gold,Full,Black,84.99
27,Corsair SF850L,850 W,SFX,80+ Gold,Full,Black,159.99
28,Lian Li SP,750 W,SFX,80+ Gold,Full,Black,153.5
29,Silverstone SFX (500 W),500 W,SFX,80+ Gold,Full,Black,127.99
30,Silverstone SFX (450 W),450 W,SFX,80+ Gold,Full,Black,114.99
31,EVGA SuperNOVA 850 GM,850 W,SFX,80+ Gold,Full,Black,129.99
32,Silverstone SFX (300 W),300 W,SFX,80+ Bronze,No,Black,89.99
33,Asus ROG LOKI (850 W),850 W,SFX,80+ Platinum,Full,Black/Silver,220.99
34,Seasonic FOCUS SGX (450 W),450 W,SFX,80+ Gold,Full,Black,129.99
35,Asus ROG LOKI (1000 W),1000 W,SFX,80+ Platinum,Full,Silver/Black,279.99
