Name,Chip,Memory,Base Clock,Boost Clock,Color,Length,Price
Gigabyte GAMING OC,Radeon RX 9070 XT,16 GB,2520 MHz,3060 MHz,Black,288 mm,$975.99 
PowerColor Reaper,Radeon RX 9070 XT,16 GB,2400 MHz,2970 MHz,Black / Red,289 mm,"$1,024.99 "
ASRock Steel Legend,Radeon RX 9070 XT,16 GB,2400 MHz,2970 MHz,White / Gray,298 mm,$919.00 
ASRock Steel Legend Dark,Radeon RX 9070 XT,16 GB,2400 MHz,2970 MHz,Black / Gray,298 mm,$919.00 
Asus PRIME OC,Radeon RX 9070 XT,16 GB,2460 MHz,3030 MHz,Black,312 mm,$896.69 
Sapphire PULSE,Radeon RX 9070 XT,16 GB,2400 MHz,2970 MHz,Black,320 mm,$879.99 
Sapphire PURE,Radeon RX 9070 XT,16 GB,2460 MHz,3010 MHz,White,320 mm,"$1,199.00 "
XFX Swift,Radeon RX 9070 XT,16 GB,1660 MHz,2970 MHz,White,325 mm,$999.00 
XFX Swift,Radeon RX 9070 XT,16 GB,1660 MHz,2970 MHz,Black,325 mm,"$1,040.55 "
Sapphire PULSE,Radeon RX 9070 ,16 GB,2070 MHz,2520 MHz,Black,280 mm,$749.99 
Gigabyte GAMING OC,Radeon RX 9070,16 GB,2070 MHz,2700 MHz,Black,288 mm,$799.00 
PowerColor Reaper,Radeon RX 9070,16 GB,2070 MHz,2520 MHz,Black,289 mm,$994.99 
ASRock Challenger,Radeon RX 9070,16 GB,2070 MHz,2520 MHz,Black / Silver,290 mm,$889.00 
ASRock Steel Legend OC,Radeon RX 9070,16 GB,2210 MHz,2700 MHz,White / Gray,298 mm,$974.00 
Asus PRIME OC,Radeon RX 9070,16 GB,2120 MHz,2610 MHz,Black,312 mm,$906.99 
Sapphire PURE,Radeon RX 9070,16 GB,2210 MHz,2700 MHz,White,320 mm,$849.95 
XFX Swift OC,Radeon RX 9070,16 GB,1440 MHz,2700 MHz,Black,325 mm,$652.98 
XFX Swift OC (White),Radeon RX 9070,16 GB,1440 MHz,2700 MHz,White,325 mm,$769.99 
NVIDIA Founders Edition,GeForce RTX 5090,32 GB,2017 MHz,2407 MHz,Black / Silver,304 mm,"$4,130.95 "
MSI VENTUS 3X OC,GeForce RTX 5090,32 GB,2010 MHz,2407 MHz,Silver / Black,325 mm,"$3,893.99 "
MSI INSPIRE 3X OC,GeForce RTX 5080,16 GB,2300 MHz,2655 MHz,Gold / Black,288 mm,"$1,559.98 "
Inno3D X3,GeForce RTX 5080,16 GB,2295 MHz,2617 MHz,Black / Silver,300 mm,"$1,399.98 "
Inno3D X3,GeForce RTX 5080,16 GB,2295 MHz,2640 MHz,Black / Silver,300 mm,"$1,799.99 "
