Name,Price (USD),Speed,Modules,Color,Latency,CAS
TEAMGROUP T-Create Expert 32 GB,92.99,DDR5-6000,2 x 16GB,Black,10 ns,30
TEAMGROUP T-Create Expert 32 GB,92.99,DDR5-6000,2 x 16GB,White,10 ns,30
G.Skill Flare X5 32 GB,99.89,DDR5-6000,2 x 16GB,Black,10 ns,30
G.Skill Trident Z5 Neo RGB 32 GB,112.99,DDR5-6000,2 x 16GB,Black,10 ns,30
G.Skill Flare X5 32 GB,94.99,DDR5-6000,2 x 16GB,Black,10.667 ns,32
G.Skill Trident Z5 Neo RGB 64 GB,199.99,DDR5-6000,2 x 32GB,Black / Silver,10 ns,30
G.Skill Ripjaws S5 32 GB,104.99,DDR5-6000,2 x 16GB,Black,10 ns,30
Corsair Vengeance 32 GB,124.99,DDR5-6000,2 x 16GB,Black / Gray,10 ns,30
G.Skill Flare X5 32 GB,81.99,DDR5-6000,2 x 16GB,Black,12 ns,36
G.Skill Trident Z5 RGB 64 GB,218.99,DDR5-6400,2 x 32GB,Black / Silver,10 ns,32
TEAMGROUP T-Force Delta RGB 32 GB,102.99,DDR5-6000,2 x 16GB,Black,10 ns,30
TEAMGROUP T-Force Delta RGB 32 GB,102.99,DDR5-6000,2 x 16GB,White,10 ns,30
TEAMGROUP T-Force Vulcan 32 GB,89.99,DDR5-6000,2 x 16GB,Black,10 ns,30
ADATA XPG Lancer Blade 32 GB,113.99,DDR5-6000,2 x 16GB,Black,10 ns,30
G.Skill Trident Z5 Neo RGB 32 GB,124.99,DDR5-6000,2 x 16GB,Silver / Black,10 ns,30
G.Skill Trident Z5 Neo 32 GB,116.99,DDR5-6000,2 x 16GB,Black,10 ns,30
Crucial CP2K64G56C46U5 128 GB,299.99,DDR5-5600,2 x 64GB,Black,16.429 ns,46
Crucial CT2K64G56C46U5 128 GB,313.99,DDR5-5600,2 x 64GB,Black,16.429 ns,46
Crucial CT2K64G56C46S5 128 GB,313.99,DDR5-5600,2 x 64GB,Black,16.429 ns,46
Corsair Vengeance 96 GB,339.99,DDR5-6400,2 x 48GB,Black,10 ns,32
Corsair Vengeance 96 GB,329.90,DDR5-6000,2 x 48GB,Black / Silver,10 ns,30
Corsair Vengeance RGB 96 GB,339.99,DDR5-6000,2 x 48GB,Black / Silver,10 ns,30
Corsair Dominator Titanium 96 GB,410.99,DDR5-6600,2 x 48GB,White,9.697 ns,32
Corsair Dominator Titanium 96 GB,410.99,DDR5-6600,2 x 48GB,Black,9.697 ns,32
G.Skill Ripjaws S5 96 GB,284.99,DDR5-6400,2 x 48GB,Black,10 ns,32
G.Skill Ripjaws M5 RGB 96 GB,289.99,DDR5-6400,2 x 48GB,White,10 ns,32
Corsair Vengeance 96 GB,259.99,DDR5-5600,2 x 48GB,Black,14.286 ns,40
