,PSU Name,Wattage,Form Factor,Efficiency,Type,Color,Price (USD)
0,Corsair SF750 (2018),750,SFX,80+ Platinum,Full,Black,179.99
1,Corsair SF750 (2024),750,SFX,80+ Platinum,Full,Black,229.99
2,Corsair SF1000 (2024),1000,SFX,80+ Platinum,Full,Black,229.99
8,Cooler Master V850 SFX GOLD,850,SFX,80+ Gold,Full,Black,156.99
11,Asus ROG LOKI,750,SFX,80+ Platinum,Full,Black / Silver,191.99
12,Silverstone SX1000-LPT,1000,SFX,80+ Platinum,Full,Black,289.99
14,Corsair SF1000L,1000,SFX,80+ Gold,Full,Black,199.99
16,Corsair SF850 (2024),850,SFX,80+ Platinum,Full,Black,199.99
17,Silverstone SFX,750,SFX,80+ Gold,Full,White,229.99
20,Asus ROG LOKI,750,SFX,80+ Platinum,Full,White / Silver,239.99
21,Phanteks Revolt SFX,850,SFX,80+ Platinum,Full,Black,239.99
23,Cooler Master V750 SFX GOLD,750 W,SFX,80+ Gold,Full,Black,139.99
24,Cooler Master V850 SFX GOLD,850 W,SFX,80+ Gold,Full,White,169.99
27,Corsair SF850L,850 W,SFX,80+ Gold,Full,Black,159.99
28,Lian Li SP,750 W,SFX,80+ Gold,Full,Black,153.5
31,EVGA SuperNOVA 850 GM,850 W,SFX,80+ Gold,Full,Black,129.99
33,Asus ROG LOKI (850 W),850 W,SFX,80+ Platinum,Full,Black/Silver,220.99
35,Asus ROG LOKI (1000 W),1000 W,SFX,80+ Platinum,Full,Silver/Black,279.99
36,Cooler Master V SFX Gold ATX 3.0,850 W,SFX,80+ Gold,Full,Black,139.99
37,Silverstone SFX (800 W Titanium),800 W,SFX,80+ Titanium,Full,Black,219.99
46,Corsair SF750 (2018),750 W,SFX,80+ Platinum,Full,Black,179.99
47,Corsair SF750 (2024),750 W,SFX,80+ Platinum,Full,Black,229.99
48,Corsair SF850 (2024),850 W,SFX,80+ Platinum,Full,Black,199.99
49,Corsair SF1000 (2024),1000 W,SFX,80+ Platinum,Full,Black,229.99
58,Cooler Master V850 SFX GOLD,850 W,SFX,80+ Gold,Full,Black,156.99
59,Cooler Master V1000 SFX GOLD,1000 W,SFX,80+ Platinum,Full,Black,279.99
60,Asus ROG Loki SFX,750 W,SFX,80+ Platinum,Full,Black/Silver,191.99
61,Silverstone SX1000-LPT,1000 W,SFX,80+ Platinum,Full,Black,289.99
62,Phanteks Revolt SFX,850 W,SFX,80+ Platinum,Full,Black,239.99
65,Silverstone SX1000-PT,1000 W,SFX,80+ Platinum,Full,Black,289.99
